country_other,totalcases,totaldeaths,totalrecovered,activecases,serious_critical,totaltests,population,continent
USA,"109,339,844","1,182,163","107,274,717","882,964","1,303","1,186,431,916","334,805,269",North America
India,"45,001,510","533,295",0,0,0,"930,797,975","1,406,631,776",Asia
France,"40,138,560","167,642","39,970,918",0,869,"271,490,188","65,584,518",Europe
Germany,"38,603,958","177,576","38,240,600","185,782",0,"122,332,384","83,883,596",Europe
Brazil,"38,022,277","707,286","36,249,161","1,065,830",0,"63,776,166","215,353,593",South America
S. Korea,"34,571,873","35,934","34,535,939",0,231,"15,804,065","51,329,899",Asia
Japan,"33,803,572","74,694",0,0,83,"100,414,883","125,584,838",Asia
Italy,"26,284,403","192,717","25,925,946","165,740",102,"275,228,417","60,262,770",Europe
UK,"24,804,243","231,324","24,560,676","12,243",0,"522,526,476","68,497,907",Europe
Russia,"23,200,294","400,395","22,603,773","196,126",0,"273,400,000","145,805,947",Europe
Turkey,"17,232,066","102,174",0,0,0,"162,743,369","85,561,976",Asia
Spain,"13,914,811","121,760","13,762,417","30,634",231,"471,036,328","46,719,142",Europe
Australia,"11,800,893","22,892","11,769,911","8,090",21,"81,916,639","26,068,792",Australia/Oceania
Vietnam,"11,624,114","43,206","10,640,971","939,937",0,"85,826,548","98,953,541",Asia
Taiwan,"10,241,523","19,005","10,222,518",0,0,"30,742,304","23,888,595",Asia
Argentina,"10,080,046","130,685","9,949,361",0,363,"35,716,069","46,010,234",South America
Netherlands,"8,620,051","22,992","8,596,843",216,53,"25,984,435","17,211,447",Europe
Mexico,"7,649,199","334,472","6,899,865","414,862",0,"20,013,810","131,562,772",North America
Iran,"7,623,061","146,633","7,377,233","99,195",18,"57,320,267","86,022,837",Asia
Indonesia,"6,813,875","161,920","6,646,988","4,967",0,"114,158,919","279,134,505",Asia
Poland,"6,547,971","119,733",0,0,53,"38,922,457","37,739,785",Europe
Colombia,"6,384,009","143,067","6,203,441","37,501",342,"36,951,507","51,512,762",South America
Greece,"6,101,379","37,089","6,064,290",0,115,"102,228,365","10,316,637",Europe
